Species strain,Species,Strain,Clade,Source,Assembly Accession,Keep,Notes
Penicillium digitatum PHI26,Penicillium digitatum PHI26,PHI26,,JGI,,,
Penicillium digitatum PHI26 (GCA_000315665),Penicillium digitatum PHI26,PHI26,,Ensembl-Genbank,,,
Penicillium expansum d1,Penicillium expansum d1,d1,,JGI,,,
Penicillium expansum str. CMP-1 (GCA_000769755),Penicillium expansum str. CMP-1,CMP-1,,Ensembl-Genbank,,,
Penicillium expansum str. d1 (GCA_000769735),Penicillium expansum str. d1,d1,,Ensembl-Genbank,,,
Penicillium expansum str. MD-8 (GCA_000769745),Penicillium expansum str. MD-8,MD-8,,Ensembl-Genbank,,,
Penicillium flavigenum (GCA_002072365),Penicillium flavigenum,IBT 14082,,Ensembl-Genbank,,,
Penicillium flavigenum IBT 14082,Penicillium flavigenum IBT 14082,IBT 14082,,JGI,,,
Penicillium freii (GCA_001513925),Penicillium freii,DAOM 242723,,Ensembl-Genbank,,,
Penicillium griseofulvum PG3,Penicillium griseofulvum PG3,PG3,,JGI,,,
Penicillium griseofulvum str. PG3 (GCA_001561935),Penicillium griseofulvum str. PG3,PG3,,Ensembl-Genbank,,,
Penicillium italicum PHI-1,Penicillium italicum PHI-1,PHI-1,,JGI,,,
Penicillium italicum str. PHI-1 (GCA_000769765),Penicillium italicum str. PHI-1,PHI-1,,Ensembl-Genbank,,,
Penicillium nalgiovense (GCA_002072425),Penicillium nalgiovense,FM193,,Ensembl-Genbank,,,
Penicillium nalgiovense FM193,Penicillium nalgiovense FM193,FM193,,JGI,,,
Penicillium nordicum (GCA_001278595),Penicillium nordicum,DAOMC 185683,,Ensembl-Genbank,,,
Penicillium nordicum DAOMC 185683,Penicillium nordicum DAOMC 185683,DAOMC 185683,,JGI,,,
Penicillium occitanis str. CL100 (GCA_002382855),Penicillium occitanis str. CL100,CL100,,Ensembl-Genbank,,,
Penicillium occitanis str. CT1 (GCA_002382835),Penicillium occitanis str. CT1,CT1,,Ensembl-Genbank,,,
Penicillium oxalicum 114-2,Penicillium oxalicum 114-2,114-2,,JGI,,,
Penicillium oxalicum 114-2 (GCA_000346795),Penicillium oxalicum 114-2,114-2,,Ensembl-Genbank,,,
Penicillium polonicum (GCA_002072265),Penicillium polonicum,IBT 4502,,Ensembl-Genbank,,,
Penicillium polonicum IBT 4502,Penicillium polonicum IBT 4502,IBT 4502,,JGI,,,
Penicillium roqueforti FM164 (GCA_000513255),Penicillium roqueforti FM164,FM164,,Ensembl-Genbank,,,
Penicillium rubens Wisconsin 54-1255,Penicillium rubens Wisconsin 54-1255,Wisconsin 54-1255,Ascomycota,FungiDB,,,
Penicillium rubens Wisconsin 54-1255 (GCA_000226395),Penicillium rubens Wisconsin 54-1255,Wisconsin 54-1255,,Ensembl-Genbank,,,
Penicillium solitum (GCA_002072235),Penicillium solitum,IBT 29525,,Ensembl-Genbank,,,
Penicillium solitum IBT 29525,Penicillium solitum IBT 29525,IBT 29525,,JGI,,,
Penicillium sp. NC0857 v1.0,Penicillium sp. NC0857,NC0857,,JGI,,,
Penicillium steckii (GCA_002072375),Penicillium steckii,IBT 24891,,Ensembl-Genbank,,,
Penicillium steckii IBT 24891,Penicillium steckii IBT 24891,IBT 24891,,JGI,,,
Penicillium subrubescens FBCC1632 / CBS132785,Penicillium subrubescens FBCC1632 / CBS132785,FBCC1632 / CBS 132785,,JGI,,,
Penicillium subrubescens str. CBS 132785 (GCA_001908125),Penicillium subrubescens str. CBS 132785,CBS 132785,,Ensembl-Genbank,,,
Penicillium thymicola DAOMC 180753 v1.0,Penicillium thymicola DAOMC 180753,DAOMC 180753,,JGI,,,
Penicillium vulpinum (GCA_002072255),Penicillium vulpinum,IBT 29486,,Ensembl-Genbank,,,
Penicillium vulpinum IBT 29486,Penicillium vulpinum IBT 29486,IBT 29486,,JGI,,,
Peniophora sp. v1.0,Peniophora sp.,aff. cinerea,,JGI,,,YES
Peniophora sp. CONT (GCA_001632445),Peniophora sp. CONT,CONT,,Ensembl-Genbank,,,NO
Peniophora sp. CONTA v1.0,Peniophora sp. CONTA,CONTA,,JGI,,,YES
Periconia macrospinosa DSE2036 v1.0,Periconia macrospinosa DSE2036,DSE2036,,JGI,,,
Periconia macrospinosa str. DSE2036 (GCA_003073855),Periconia macrospinosa str. DSE2036,DSE2036,,Ensembl-Genbank,,,
Pestalotiopsis fici W106-1 (GCA_000516985),Pestalotiopsis fici W106-1,W106-1,,Ensembl-Genbank,,,
Pestalotiopsis sp. NC0098 v1.0,Pestalotiopsis sp. NC0098,NC0098,,JGI,,,
Peterozyma xylosa NRRL Y-12939,Peterozyma xylosa NRRL Y-12939,NRRL Y-12939,,JGI,,,
Pezoloma ericae str. UAMH 7357 (GCA_002865625),Pezoloma ericae str. UAMH 7357,UAMH 7357,,Ensembl-Genbank,,,
Phaeoacremonium aleophilum UCRPA7,Phaeoacremonium aleophilum UCRPA7,UCRPA7,,JGI,,,
Phaeoacremonium minimum UCRPA7 (GCA_000392275),Phaeoacremonium minimum UCRPA7,UCRPA7,,Ensembl-Genbank,,,
Phaeoacremonium sp. FL0889 v1.0,Phaeoacremonium sp. FL0889,FL0889,,JGI,,,
Phaeomoniella chlamydospora (GCA_001006345),Phaeomoniella chlamydospora,UCRPC4,,Ensembl-Genbank,,,
Phaeomoniella chlamydospora UCRPC4,Phaeomoniella chlamydospora UCRPC4,UCRPC4,,JGI,,,
Phaeomoniellales  sp. NC0930 v1.0,Phaeomoniellales  sp. NC0930,NC0930,,JGI,,,
Phaeosolenia platensis CBS 268.64 v1.0,Phaeosolenia platensis CBS 268.64,CBS 268.64,,JGI,,,
Phaeosphaeria nodorum,Phaeosphaeria nodorum,MPI-PUGE-AT-0046c,,Ensembl-Genbank,,,
Phaeosphaeria poagena MPI-PUGE-AT-0046c v1.0,Phaeosphaeria poagena MPI-PUGE-AT-0046c,MPI-PUGE-AT-0046c,,JGI,,,
Phaeosphaeriaceae sp. PMI_808 v1.0,Phaeosphaeriaceae sp. PMI_808,PMI_808,,JGI,,,
Phanerochaete carnosa HHB-10118-sp (GCA_000300595),Phanerochaete carnosa HHB-10118-sp,HHB-10118-sp,,Ensembl-Genbank,,,
Phanerochaete carnosa HHB-10118-Sp v1.0,Phanerochaete carnosa HHB-10118-Sp,HHB-10118-Sp,,JGI,,,
Phanerochaete chrysosporium RP-78,Phanerochaete chrysosporium RP-78,RP-78,Basidiomycota,FungiDB,,,
Phanerochaete chrysosporium RP-78 v2.2,Phanerochaete chrysosporium RP-78,RP-78,,JGI,,,
Phascolomyces articulosus v1.0,Phascolomyces articulosus,RSA 2281,Mucoromyocta,JGI,,,
Phellinus ferrugineofuscus SpK3Phefer14 v1.0,Phellinus ferrugineofuscus SpK3Phefer14,SpK3Phefer14,,JGI,,,
Phellinus igniarius CCBS 575 v1.0,Phellinus igniarius CCBS 575,CCBS 575,,JGI,,,
Phellinus noxius (GCA_002287475),Phellinus noxius,FFPRI411160,,Ensembl-Genbank,,,
Phellopilus nigrolimitatus SigPhenig9 v1.0,Phellopilus nigrolimitatus SigPhenig9,SigPhenig9,,JGI,,,
Phialocephala scopiformis 5WS22E1 v1.0,Phialocephala scopiformis 5WS22E1,5WS22E1,,JGI,,,
Phialocephala scopiformis str. CBS 120377 (GCA_001500285),Phialocephala scopiformis str. CBS 120377,CBS 120377,,Ensembl-Genbank,,,
Phialocephala subalpina (GCA_900073065),Phialocephala subalpina,UAMH 11012,,Ensembl-Genbank,,,
Phialophora americana str. CBS 27337 (GCA_000835435),Phialophora americana str. CBS 27337,CBS 27337,,Ensembl-Genbank,,,
Phialophora attae CBS 131958,Phialophora attae CBS 131958,CBS 131958,,JGI,,,
Phialophora attae str. CBS 131958 (GCA_001299255),Phialophora attae str. CBS 131958,CBS 131958,,Ensembl-Genbank,,,
Phlebia brevispora HHB-7030 SS6 v1.0,Phlebia brevispora HHB-7030 SS6,HHB-7030 SS6,,JGI,,,
Phlebia centrifuga FBCC195,Phlebia centrifuga FBCC195,FBCC195,,JGI,,,
Phlebia centrifuga str. FBCC195 (GCA_001913855),Phlebia centrifuga str. FBCC195,FBCC195,,Ensembl-Genbank,,,
"Phlebia radiata Fr. (isolate 79, FBCC0043)","Phlebia radiata Fr. (isolate 79, FBCC0043)","Fr. (isolate 79, FBCC0043)",,JGI,,,
Phlebiopsis gigantea v1.0,Phlebiopsis gigantea,11061_1 CR5-6,,JGI,,,
Phlebiopsis gigantea 11061_1 CR5-6 (GCA_000832265),Phlebiopsis gigantea 11061_1 CR5-6,11061_1 CR5-6,,Ensembl-Genbank,,,
Pholiota highlandensis v1.0,Pholiota highlandensis,RF1,,JGI,,,
Phoma multirostrata 7a v1.0,Phoma multirostrata 7a,7a,,JGI,,,
Phoma tracheiphila IPT5 v1.0,Phoma tracheiphila IPT5,IPT5,,JGI,,,
Phycomyces blakesleeanus NRRL 1555(-),Phycomyces blakesleeanus NRRL 1555(-),NRRL 1555(-),Mucoromycota,FungiDB,,,
Phycomyces blakesleeanus NRRL1555 v2.0,Phycomyces blakesleeanus NRRL1555,NRRL 1555,,JGI,,,
Phycomyces blakesleeanus UBC1 v1.0,Phycomyces blakesleeanus UBC1,UBC1,,JGI,,,
Phycomyces nitens S607 v1.0,Phycomyces nitens S607,S607,,JGI,,,
Phycomyces nitens S608 v1.0,Phycomyces nitens S608,S608,,JGI,,,
Phycomyces nitens S609 v1.0,Phycomyces nitens S609,S609,,JGI,,,
Phyllosticta capitalensis CBS 128856 v1.0,Phyllosticta capitalensis CBS 128856,CBS 128856,,JGI,,,
Phyllosticta citriasiana CBS 120486 v1.0,Phyllosticta citriasiana CBS 120486,CBS 120486,,JGI,,,
Phyllosticta citribraziliensis CBS 100098 v1.0,Phyllosticta citribraziliensis CBS 100098,CBS 100098,,JGI,,,
Phyllosticta citricarpa CBS 127454 v1.0,Phyllosticta citricarpa CBS 127454,CBS 127454,,JGI,,,
Phyllosticta citrichinaensis CBS 130529 v1.0,Phyllosticta citrichinaensis CBS 130529,CBS 130529,,JGI,,,
Phyllosticta paracitricarpa CBS 141357 v1.0,Phyllosticta paracitricarpa CBS 141357,CBS 141357,,JGI,,,
Phyllosticta sp. CPC 27913 v1.0,Phyllosticta sp. CPC 27913,CPC 27913,,JGI,,,
Pichia kudriavzevii CBS573,Pichia kudriavzevii CBS573,CBS 573,,JGI,,,
Pichia kudriavzevii str. 129 (GCA_001983325),Pichia kudriavzevii str. 129,129,,Ensembl-Genbank,,,
Pichia kudriavzevii str. CBS573 (GCA_003054445),Pichia kudriavzevii str. CBS573,CBS 573,,Ensembl-Genbank,,,
Pichia kudriavzevii str. Ckrusei653 (GCA_002166775),Pichia kudriavzevii str. Ckrusei653,Ckrusei653,,Ensembl-Genbank,,,
Pichia kudriavzevii str. SD108 (GCA_000764455),Pichia kudriavzevii str. SD108,SD108,,Ensembl-Genbank,,,
Pichia membranifaciens v2.0,Pichia membranifaciens,NRRL Y-2026,,JGI,,,
Pichia membranifaciens NRRL Y-2026 (GCA_001661235),Pichia membranifaciens NRRL Y-2026,NRRL Y-2026,,Ensembl-Genbank,,,
Pichia membranifaciens str. KS47-1 (GCA_001950575),Pichia membranifaciens str. KS47-1,KS47-1,,Ensembl-Genbank,,,
Pichia pastoris,Pichia pastoris,GS115,,JGI,,,
Piedraia hortae v1.1,Piedraia hortae,CBS 480.64,,JGI,,,
Pilaira anomala RSA1997 v1.0,Pilaira anomala RSA1997,RSA1997,,JGI,,,
Pilobolus umbonatus NRRL 6349 v1.0,Pilobolus umbonatus NRRL 6349,NRRL 6349,,JGI,,,
Piloderma croceum F 1598 (GCA_000827315),Piloderma croceum F 1598,F 1598,,Ensembl-Genbank,,,
Piloderma croceum F 1598 v1.0,Piloderma croceum F 1598,F 1598,,JGI,,,
Piptocephalis cylindrospora RSA 2659 single-cell v3.0,Piptocephalis cylindrospora RSA 2659 single-cell,RSA 2659,Zoopagomycota,JGI,,,
Piptocephalis tieghemiana RSA 1565 v1.0,Piptocephalis tieghemiana RSA 1565,RSA 1565,,JGI,,,
Piriformospora indica DSM 11827 from MPI,Piriformospora indica DSM 11827 from MPI,DSM 11827,,JGI,,,
Piromyces finnis (GCA_002104945),Piromyces finnis,finn,Chytridiomycota,Ensembl-Genbank,,,
Piromyces finnis v3.0,Piromyces finnis,finn,Chytridiomycota,JGI,,,
Piromyces sp. E2 (GCA_002157105),Piromyces sp. E2,E2,Chytridiomycota,Ensembl-Genbank,,,
Piromyces sp. E2 v1.0,Piromyces sp. E2,E2,Chytridiomycota,JGI,,,
Pisolithus microcarpus 441 (GCA_000827275),Pisolithus microcarpus 441,441,,Ensembl-Genbank,,,
Pisolithus microcarpus 441 v1.0,Pisolithus microcarpus 441,441,,JGI,,,
Pisolithus tinctorius Marx 270 (GCA_000827335),Pisolithus tinctorius Marx 270,Marx 270,,Ensembl-Genbank,,,
Pisolithus tinctorius Marx 270 v1.0,Pisolithus tinctorius Marx 270,Marx 270,,JGI,,,
Plectania melastoma CBS 918.72 v1.0,Plectania melastoma CBS 918.72,CBS 918.72,,JGI,,,
Plectosphaerella cucumerina RP01 v1.0,Plectosphaerella cucumerina RP01,RP01,,JGI,,,
Pleomassaria siparia v1.0,Pleomassaria siparia, CBS 279.74,,JGI,,,
Pleospora avicennia ATCC 66911 v1.0,Pleospora avicennia ATCC 66911,ATCC 66911,,JGI,,,
Pleurotus ostreatus PC15 (GCA_000697685),Pleurotus ostreatus PC15,PC15,Basidiomycota,Ensembl-Genbank,,,
Pleurotus ostreatus PC15 v2.0,Pleurotus ostreatus PC15,PC15,Basidiomycota,JGI,,,
Pleurotus ostreatus PC9 v1.0,Pleurotus ostreatus PC9,PC9,Basidiomycota,JGI,,,
Plicaturopsis crispa v1.0,Plicaturopsis crispa,FD-325 SS-3,,JGI,,,
Plicaturopsis crispa FD-325 SS-3 (GCA_000827205),Plicaturopsis crispa FD-325 SS-3,FD-325 SS-3,,Ensembl-Genbank,,,
Pluteus cervinus NL-1719 v1.0,Pluteus cervinus NL-1719,NL-1719,,JGI,,,
Pneumocystis carinii B80 (GCA_001477545),Pneumocystis carinii B80,B80,,Ensembl-Genbank,,,
Pneumocystis jirovecii,Pneumocystis jirovecii,,,JGI,,,Check strain
Pneumocystis jirovecii RU7 (GCA_001477535),Pneumocystis jirovecii RU7,RU7,,Ensembl-Genbank,,,
Pneumocystis jirovecii SE8,Pneumocystis jirovecii SE8,SE8,Ascomycota,FungiDB,,,
Pneumocystis murina B123 (GCA_000349005),Pneumocystis murina B123,B123,,Ensembl-Genbank,,,
Pochonia chlamydosporia 170,Pochonia chlamydosporia 170,170,,JGI,,,
Pochonia chlamydosporia 170 (GCA_001653235),Pochonia chlamydosporia 170,170,,Ensembl-Genbank,,,
Podospora anserina S mat+,Podospora anserina S mat+,S mat+,,JGI,,,
Podospora anserina S mat+ (GCA_000226545),Podospora anserina S mat+,S mat+,,Ensembl-Genbank,,,
Podospora appendiculata CBS 314.62 v1.0,Podospora appendiculata CBS 314.62,CBS 314.62,,JGI,,,
Podospora didyma CBS 232.78 v1.0,Podospora didyma CBS 232.78,CBS 232.78,,JGI,,,
Polychaeton citri v1.0,Polychaeton citri,CBS 116435,,JGI,,,
Polyplosphaeria fusca CBS 125425 v1.0,Polyplosphaeria fusca CBS 125425,CBS 125425,,JGI,,,
Polyporus arcularius v1.0,Polyporus arcularius,HHB13444,,JGI,,,
Polyporus brumalis BRFM 1820 v1.0,Polyporus brumalis BRFM 1820,BRFM 1820,,JGI,,,
Polyporus squamosus CCBS 676 v1.0,Polyporus squamosus CCBS 676,CCBS 676,,JGI,,,
Polytolypa hystricis UAMH7299 (GCA_002573605),Polytolypa hystricis UAMH7299,UAMH7299,,Ensembl-Genbank,,,
Porodaedalea chrysoloma FP-135951 v1.0,Porodaedalea chrysoloma FP-135951,FP-135951,,JGI,,,
Porodaedalea niemelaei PN71-100-IP13 v1.0,Porodaedalea niemelaei PN71-100-IP13,PN71-100-IP13,,JGI,,,
Porpomyces mucidus OMC1666 v1.0,Porpomyces mucidus OMC1666,OMC1666,,JGI,,,
Postia placenta MAD 698-R v1.0,Postia placenta MAD 698-R,MAD 698-R,,JGI,,,
Postia placenta Mad-698-R (GCA_000006255),Postia placenta Mad-698-R,Mad-698-R,,Ensembl-Genbank,,,
Postia placenta MAD-698-R-SB12 (GCA_002117355),Postia placenta MAD-698-R-SB12,MAD-698-R-SB12,,Ensembl-Genbank,,,
Postia placenta MAD-698-R-SB12 v1.0,Postia placenta MAD-698-R-SB12,MAD-698-R-SB12,,JGI,,,
Postia stiptica OMC1664 v1.0,Postia stiptica OMC1664,OMC1664,,JGI,,,
Powellomyces hirtus BR81 v1.0,Powellomyces hirtus BR81,BR81,,JGI,,,
Protomyces lactucaedebilis 12-1054 v1.0,Protomyces lactucaedebilis 12-1054,12-1054,,JGI,,,
Protomyces lactucaedebilis str. 12-1054 (GCA_002105105),Protomyces lactucaedebilis str. 12-1054,12-1054,,Ensembl-Genbank,,,
Pseudocercospora (Mycosphaerella) fijiensis v2.0,Pseudocercospora fijiensis,CIRAD86,,JGI,,,
Pseudocercospora fijiensis CIRAD86 (GCA_000340215),Pseudocercospora fijiensis CIRAD86,CIRAD86,,Ensembl-Genbank,,,
Pseudocercospora musae str. CBS 116634 (GCA_001578225),Pseudocercospora musae str. CBS 116634,CBS 116634,,Ensembl-Genbank,,,
Pseudogymnoascus destructans (GCA_001641265),Pseudogymnoascus destructans,20631-21,,Ensembl-Genbank,,,
Pseudogymnoascus destructans 20631-21,Pseudogymnoascus destructans 20631-21,20631-21,,JGI,,,
Pseudogymnoascus destructans 20631-21 (GCA_000184105),Pseudogymnoascus destructans 20631-21,20631-21,,Ensembl-Genbank,,,
Pseudogymnoascus sp. 03VT05 (GCA_001662645),Pseudogymnoascus sp. 03VT05,03VT05,,Ensembl-Genbank,,,
Pseudogymnoascus sp. 05NY08 (GCA_001662605),Pseudogymnoascus sp. 05NY08,05NY08,,Ensembl-Genbank,,,
Pseudogymnoascus sp. 23342-1-I1 (GCA_001662575),Pseudogymnoascus sp. 23342-1-I1,23342-1-I1,,Ensembl-Genbank,,,
Pseudogymnoascus sp. 24MN13 (GCA_001662595),Pseudogymnoascus sp. 24MN13,24MN13,,Ensembl-Genbank,,,
Pseudogymnoascus sp. VKM F-103 (GCA_000750895),Pseudogymnoascus sp. VKM F-103,VKM F-103,,Ensembl-Genbank,,,
Pseudogymnoascus sp. VKM F-3557 (GCA_000750665),Pseudogymnoascus sp. VKM F-3557,VKM F-3557,,Ensembl-Genbank,,,
Pseudogymnoascus sp. VKM F-3775 (GCA_000750715),Pseudogymnoascus sp. VKM F-3775,VKM F-3775,,Ensembl-Genbank,,,
Pseudogymnoascus sp. VKM F-3808 (GCA_000750675),Pseudogymnoascus sp. VKM F-3808,VKM F-3808,,Ensembl-Genbank,,,
Pseudogymnoascus sp. VKM F-4246 (GCA_000750735),Pseudogymnoascus sp. VKM F-4246,VKM F-4246,,Ensembl-Genbank,,,
Pseudogymnoascus sp. VKM F-4281 (FW-2241) (GCA_000750745),Pseudogymnoascus sp. VKM F-4281 (FW-2241),VKM F-4281 (FW-2241),,Ensembl-Genbank,,,
Pseudogymnoascus sp. VKM F-4513 (FW-928) (GCA_000750755),Pseudogymnoascus sp. VKM F-4513 (FW-928),VKM F-4513 (FW-928),,Ensembl-Genbank,,,
Pseudogymnoascus sp. VKM F-4514 (FW-929) (GCA_000750795),Pseudogymnoascus sp. VKM F-4514 (FW-929),VKM F-4514 (FW-929),,Ensembl-Genbank,,,
Pseudogymnoascus sp. VKM F-4515 (FW-2607) (GCA_000750805),Pseudogymnoascus sp. VKM F-4515 (FW-2607),VKM F-4515 (FW-2607),,Ensembl-Genbank,,,
Pseudogymnoascus sp. VKM F-4516 (FW-969) (GCA_000750815),Pseudogymnoascus sp. VKM F-4516 (FW-969),VKM F-4516 (FW-969),,Ensembl-Genbank,,,
Pseudogymnoascus sp. VKM F-4517 (FW-2822) (GCA_000750875),Pseudogymnoascus sp. VKM F-4517 (FW-2822),VKM F-4517 (FW-2822),,Ensembl-Genbank,,,
Pseudogymnoascus sp. VKM F-4518 (FW-2643) (GCA_000750925),Pseudogymnoascus sp. VKM F-4518 (FW-2643),VKM F-4518 (FW-2643),,Ensembl-Genbank,,,
Pseudogymnoascus sp. VKM F-4519 (FW-2642) (GCA_000750935),Pseudogymnoascus sp. VKM F-4519 (FW-2642),VKM F-4519 (FW-2642),,Ensembl-Genbank,,,
Pseudogymnoascus sp. VKM F-4520 (FW-2644) (GCA_000750995),Pseudogymnoascus sp. VKM F-4520 (FW-2644),VKM F-4520 (FW-2644),,Ensembl-Genbank,,,
Pseudogymnoascus sp. WSF 3629 (GCA_001662585),Pseudogymnoascus sp. WSF 3629,WSF 3629,,Ensembl-Genbank,,,
Pseudogymnoascus verrucosus (GCA_001662655),Pseudogymnoascus verrucosus,UAMH 10579,,Ensembl-Genbank,,,
Pseudoloma neurophilia str. MK1 (GCA_001432165),Pseudoloma neurophilia str. MK1,MK1,,Ensembl-Genbank,,,
Pseudomassariella vexata CBS 129021 v1.0,Pseudomassariella vexata CBS 129021,CBS 129021,,JGI,,,
Pseudomassariella vexata str. CBS 129021 (GCA_002105095),Pseudomassariella vexata str. CBS 129021,CBS 129021,,Ensembl-Genbank,,,
Pseudomicrostroma glucosiphilum gen et sp. nov. MCA 4718 v1.0,Pseudomicrostroma glucosiphilum gen et sp. nov. MCA 4718,MCA 4718,,JGI,,,
Pseudomicrostroma glucosiphilum str. MCA 4718 (GCA_003144135),Pseudomicrostroma glucosiphilum str. MCA 4718,MCA 4718,,Ensembl-Genbank,,,
Pseudovirgaria hyperparasitica CBS 121739 v1.0,Pseudovirgaria hyperparasitica CBS 121739,CBS 121739,,JGI,,,
Pseudozyma antarctica T-34,Pseudozyma antarctica T-34,T-34,,JGI,,,
Pseudozyma hubeiensis SY62,Pseudozyma hubeiensis SY62,SY62,,JGI,,,
Pseudozyma hubeiensis SY62 (GCA_000403515),Pseudozyma hubeiensis SY62,SY62,,Ensembl-Genbank,,,
Psilocybe cubensis v1.0,Psilocybe cubensis,,,JGI,,,
Psilocybe serbica v1.0,Psilocybe serbica,,,JGI,,,
Pterula gracilis CBS309.79 v1.0,Pterula gracilis CBS309.79,CBS 309.79,,JGI,,,
Puccinia coronata avenae 12SD80,Puccinia coronata  f. sp. avenae 12SD80,12SD80,Basidiomycota,JGI,,,
Puccinia coronata avenae 12NC29,Puccinia coronata f. sp. avenae 12NC29,12NC29,Basidiomycota,JGI,,,
Puccinia coronata var. avenae f. sp. avenae (GCA_002873275),Puccinia coronata var. avenae f. sp. avenae,12NC29,Basidiomycota,Ensembl-Genbank,,,
Puccinia graminis,Puccinia graminis, CRL 75-36-700-3,Basidiomycota,Ensembl-Genbank,,,
Puccinia graminis f. sp. tritici v2.0,Puccinia graminis f. sp. tritici,CRL 75-36-700-3,Basidiomycota,JGI,,,
Puccinia graminis f. sp. tritici CRL 75-36-700-3,Puccinia graminis f. sp. tritici CRL 75-36-700-3,CRL 75-36-700-3,Basidiomycota,FungiDB,,,
Puccinia graminis Ug99,Puccinia graminis Ug99,Ug99,Basidiomycota,Ensembl-Genbank,,,
Puccinia sorghi str. RO10H11247 (GCA_001263375),Puccinia sorghi str. RO10H11247,RO10H11247,Basidiomycota,Ensembl-Genbank,,,
Puccinia striiformis (GCA_002920065),Puccinia striiformis,93-210,Basidiomycota,Ensembl-Genbank,,,
Puccinia striiformis f. sp. tritici 104 E137 A-,Puccinia striiformis f. sp. tritici 104 E137 A-,104 E137 A-,Basidiomycota,JGI,,,
Puccinia striiformis f. sp. tritici PST-130,Puccinia striiformis f. sp. tritici PST-130,PST-130,Basidiomycota,JGI,,,
Puccinia striiformis f. sp. tritici PST-130 str. Race 130,Puccinia striiformis f. sp. tritici PST-130 str. Race 130,PST-130 Race 130,Basidiomycota,Ensembl-Genbank,,,
Puccinia striiformis f. sp. tritici PST-78 (GCA_001191645),Puccinia striiformis f. sp. tritici PST-78,PST-78,Basidiomycota,Ensembl-Genbank,,,
Puccinia striiformis f. sp. tritici PST-78 v1.0,Puccinia striiformis f. sp. tritici PST-78,PST-78,Basidiomycota,JGI,,,
Puccinia triticina,Puccinia triticina,1-1 BBBD Race 1,Basidiomycota,Ensembl-Genbank,,,New assembly is v2? https://www.ncbi.nlm.nih.gov/assembly/GCA_000151525.2
Puccinia triticina 1-1 BBBD Race 1,Puccinia triticina 1-1 BBBD Race 1,1-1 BBBD Race 1,Basidiomycota,FungiDB,,,
Puccinia triticina 1-1 BBBD Race 1,Puccinia triticina 1-1 BBBD Race 1,1-1 BBBD Race 1,Basidiomycota,JGI,,,
Punctularia strigosozonata v1.0,Punctularia strigosozonata,HHB-11173 SS5,,JGI,,,
Punctularia strigosozonata HHB-11173 SS5 (GCA_000264995),Punctularia strigosozonata HHB-11173 SS5,HHB-11173 SS5,,Ensembl-Genbank,,,
Purpureocillium lilacinum (GCA_001653205),Purpureocillium lilacinum,PLBJ-1,,Ensembl-Genbank,,,
Purpureocillium lilacinum (GCA_001653265),Purpureocillium lilacinum,PLFJ-1,,Ensembl-Genbank,,,
Purpureocillium lilacinum str. 36-1 (GCA_003144605),Purpureocillium lilacinum str. 36-1,36-1,,Ensembl-Genbank,,,
Purpureocillium sp. UdeA0106 v1.0,Purpureocillium sp. UdeA0106,UdeA0106,,JGI,,,
Pycnoporus cinnabarinus BRFM 137,Pycnoporus cinnabarinus BRFM 137,BRFM 137,,JGI,,,
Pyrenochaeta lycopersici MPI-SDFR-AT-0127 v1.0,Pyrenochaeta lycopersici MPI-SDFR-AT-0127,MPI-SDFR-AT-0127,,JGI,,,
Pyrenochaeta sp. DS3sAY3a (GCA_001644535),Pyrenochaeta sp. DS3sAY3a,DS3sAY3a,,Ensembl-Genbank,,,
Pyrenochaeta sp. DS3sAY3a v1.0,Pyrenochaeta sp. DS3sAY3a,DS3sAY3a,,JGI,,,
Pyrenophora teres,Pyrenophora teres f. teres,0-1,,Ensembl-Genbank,,,
Pyrenophora teres f. teres,Pyrenophora teres f. teres,0-1,,JGI,,,
Pyrenophora tritici-repentis (GCA_003231325),Pyrenophora tritici-repentis,134,,Ensembl-Genbank,,NO,Velvet assembly
Pyrenophora tritici-repentis (GCA_003231365),Pyrenophora tritici-repentis,239,,Ensembl-Genbank,,NO,Velvet assembly
Pyrenophora tritici-repentis (GCA_003231425),Pyrenophora tritici-repentis,86-124,,Ensembl-Genbank,,,
Pyrenophora tritici-repentis (GCA_003171545),Pyrenophora tritici-repentis,ARCrossB10,,Ensembl-Genbank,,,
Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,Pt-1C-BFP,,JGI,,,
Pyrenophora tritici-repentis Pt-1C-BFP,Pyrenophora tritici-repentis Pt-1C-BFP,Pt-1C-BFP,,Ensembl-Genbank,,,
Pyronema confluens CBS100304,Pyronema confluens CBS100304,CBS 100304,,JGI,,,
Rachicladosporium antarcticum (GCA_002077065),Rachicladosporium antarcticum,CCFEE 5527,,Ensembl-Genbank,,,
Rachicladosporium sp. CCFEE 5018 (GCA_002077045),Rachicladosporium sp. CCFEE 5018,CCFEE 5018,,Ensembl-Genbank,,,
Radiomyces spectabilis NRRL 2753 v1.0,Radiomyces spectabilis NRRL 2753,NRRL 2753,,JGI,,,
Radulomyces confluens OMC1631 v1.0,Radulomyces confluens OMC1631,OMC1631,,JGI,,,
Ramicandelaber brevisporus CBS 109374 v1.0,Ramicandelaber brevisporus CBS 109374,CBS 109374,,JGI,,,
